Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%)
1,0.6849488273779551,74.51166666666667,0.4897521900653839,82.1
2,0.4292391388575236,84.41,0.4325727969646454,84.56
3,0.38325259997049965,86.08333333333333,0.46506528015136717,82.55
4,0.3572463149388631,87.015,0.41980416662693026,84.7
5,0.3362300515174866,87.59333333333333,0.37299488270282743,86.02
6,0.36667443607648215,86.56833333333334,0.3695870048046112,86.8
7,0.33222307132085166,87.87166666666667,0.3540112389087677,86.92
8,0.3137948850949605,88.45833333333334,0.3536506276845932,87.29
9,0.301725922481219,88.86166666666668,0.3699595907688141,86.71
10,0.3450015638669332,87.47500000000001,0.3663614962100983,86.58
11,0.3031773007551829,88.85333333333332,0.34973907997608183,87.5
12,0.2867689545472463,89.47166666666668,0.34977979512214663,87.55
13,0.35239764533042905,87.26,0.3591217871665955,87.25
14,0.29958812034924825,89.01,0.3538517529010773,87.27000000000001
15,0.28574615562756855,89.46833333333333,0.33857152013778685,87.53
16,0.2722483854929606,89.92666666666666,0.3459199164867401,87.77000000000001
17,0.3606366571187973,86.87833333333333,0.33947133891582487,87.83
18,0.2860915459314982,89.52,0.33111384103298186,88.12
19,0.2733384711265564,89.86666666666666,0.3261601866722107,88.14
20,0.2585695789337158,90.48833333333334,0.31594936027526854,88.55
