Epoch,Remaining Fraction,Pruned Fraction,Nonzeros,Total
5,0.7247802734375,0.27521972656250004,237496,327680
9,0.52530517578125,0.47469482421875,172132,327680
12,0.380731201171875,0.619268798828125,124758,327680
16,0.275946044921875,0.724053955078125,90422,327680
20,0.2,0.8,65536,327680
