Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%),LR,Alg,Seed
1,0.6717511391162873,75.3,0.49639090220928195,82.66,0.7,eg,42
2,0.438999640194575,84.29666666666667,0.4728673783779144,82.78999999999999,0.7,eg,42
3,0.40164626019795735,85.705,0.42391463305950167,84.52,0.7,eg,42
4,0.38137993229230244,86.195,0.4223500913143158,84.45,0.7,eg,42
5,0.3553539524714152,87.08500000000001,0.3993139663219452,85.61,0.63,eg,42
6,0.3341836267153422,87.91833333333334,0.37032011561393735,86.83999999999999,0.63,eg,42
7,0.3216546183268229,88.29833333333333,0.363966947889328,86.59,0.63,eg,42
8,0.30781595499515535,88.74833333333333,0.36776981716156004,86.8,0.63,eg,42
9,0.3018778284629186,88.90666666666667,0.34784499465227126,87.63,0.63,eg,42
10,0.2889186150074005,89.33833333333332,0.3872915917158127,86.13,0.5670000000000001,eg,42
11,0.2738884633779526,89.875,0.3476880533695221,87.7,0.5670000000000001,eg,42
12,0.26250304207801817,90.28,0.34548865923881533,87.92,0.5670000000000001,eg,42
13,0.255343581867218,90.5,0.3437860189974308,87.78,0.5670000000000001,eg,42
14,0.2459337669213613,90.86999999999999,0.34451357855200765,88.18,0.5670000000000001,eg,42
15,0.24404742900530496,90.87333333333333,0.35060487723350525,87.74,0.5103000000000001,eg,42
16,0.22728887748718263,91.57333333333332,0.33322857067584993,88.68,0.5103000000000001,eg,42
17,0.22095398121674856,91.76166666666667,0.336720752954483,88.66000000000001,0.5103000000000001,eg,42
18,0.2192763326327006,91.85,0.339321736240387,88.62,0.5103000000000001,eg,42
19,0.21192235730489095,92.04666666666667,0.35748389893770216,88.68,0.5103000000000001,eg,42
20,0.21307571949164072,92.19833333333334,0.3353288314819336,88.99000000000001,0.45927000000000007,eg,42
