Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%),LR,Alg,Seed
1,0.6849488273779551,74.51166666666667,0.4897521900653839,82.1,0.022,gd,42
2,0.4292391388575236,84.41,0.4325727969646454,84.56,0.022,gd,42
3,0.38325259997049965,86.08333333333333,0.46506528015136717,82.55,0.022,gd,42
4,0.3572463149388631,87.015,0.41980416662693026,84.7,0.022,gd,42
5,0.3362300515174866,87.59333333333333,0.37299488270282743,86.02,0.019799999999999998,gd,42
6,0.3141398243745168,88.52,0.3490706801891327,87.3,0.019799999999999998,gd,42
7,0.30178485562006635,88.86166666666668,0.349389394569397,87.18,0.019799999999999998,gd,42
8,0.28778409321308135,89.39166666666667,0.3356207612276077,87.72,0.019799999999999998,gd,42
9,0.2794960608879725,89.68166666666667,0.34257737550735473,87.63,0.019799999999999998,gd,42
10,0.26851247599919636,90.20333333333333,0.34152036085128784,87.68,0.01782,gd,42
11,0.2515264925400416,90.725,0.3343207423210144,88.42,0.01782,gd,42
12,0.24182536252339681,91.015,0.35747748935222623,87.09,0.01782,gd,42
13,0.23525488538742065,91.23333333333333,0.32382230880260465,88.39,0.01782,gd,42
14,0.22377643737792968,91.61166666666666,0.32034762892723084,88.75,0.01782,gd,42
15,0.21950897926489513,91.64166666666667,0.3151960906267166,88.57000000000001,0.016038,gd,42
16,0.20460762438774108,92.36833333333333,0.31788775832653043,89.02,0.016038,gd,42
17,0.19515613393783568,92.655,0.320379118680954,89.1,0.016038,gd,42
18,0.18716804711023965,93.04833333333333,0.31401800537109376,89.05999999999999,0.016038,gd,42
19,0.18373187447388967,93.09333333333333,0.3186814255952835,89.37,0.016038,gd,42
20,0.17381086571216584,93.42166666666667,0.3197678894996643,89.08,0.014434200000000001,gd,42
